Hebrew,English,Safe,Hebrew_st,Hebrew_e,English_st,English_e
"אתה רוצה ספינת, .פיראטים מפיראטים","You want to pirate a pirate ship, from pirates.",True,"00:41:49,349","00:41:52,334","00:41:49,287","00:41:52,222"
"רק רגע, אולי אנחנו יכולים, .לעזור אחד לשני","Wait a minute,, maybe we can help each other.",True,"00:42:16,002","00:42:19,532","00:42:15,980","00:42:19,074"
"מה דעתכם שאתם ואנחנו, ?נהיה נגד הפיראטים, אה","How about you and us, against the pirates, huh?",True,"00:42:28,941","00:42:32,345","00:42:28,926","00:42:32,157"
.תודה,Thank you.,True,"00:42:49,799","00:42:51,066","00:42:49,847","00:42:51,178"
"...אחת, שתיים, ...אחת, שתיים","Sick sloths sip broth,, sick sloths sip broth.",True,"00:42:59,670","00:43:02,115","00:42:59,690","00:43:02,124"
?את זה הם הבינו,"That, they got?",True,"00:43:24,595","00:43:26,157","00:43:24,615","00:43:25,639"
".כן, הם מוכנים","Yup, they're in.",True,"00:43:34,950","00:43:36,126","00:43:35,026","00:43:36,288"
.אני לא צריכה שום דבר ממך,I don't need anything from you.,True,"00:44:06,332","00:44:07,982","00:44:06,524","00:44:08,082"
"את יודעת, יש לך דרך לאמר תודה, .שגורם לזה להישמע כמו למות","You have a way of saying ""thank you"", that makes it sound like ""drop dead.""",True,"00:44:14,990","00:44:19,290","00:44:15,566","00:44:19,229"
"כן, אני חושבת שאני מתחילה, .להבין למה אתה לא בלהקה","Yeah, I think I'm starting to get, why you're not in a pack.",True,"00:44:36,111","00:44:38,811","00:44:36,153","00:44:38,917"
"הו, נהדר... מה, אנחנו הולכים עכשיו, ?לקלוע את הפרווה של כל אחד","Oh, great, are we going to, braid each other's fur now?",True,"00:44:51,236","00:44:54,226","00:44:51,369","00:44:54,338"
"לא. שנינו רצינו לצאת מהחיים, שלנו בלהקה אבל לפחות","No, we both, might have wanted out of pack life...",True,"00:45:00,891","00:45:03,996","00:45:01,012","00:45:03,640"
"באמת? כי אני לא רואה שגאט, .שולח אנשים לחפש אותך","Really? Because I don't see Gutt, sending out any search parties for you.",True,"00:45:16,091","00:45:19,586","00:45:16,227","00:45:19,162"
".כן, אבל גם גאט לא","Yeah, but neither does Gutt.",True,"00:45:27,405","00:45:29,786","00:45:27,571","00:45:29,596"
"עם החבלים, לא לעזוב, .עד שכולם על הסיפון","Unwind the binds,, don't let go until we're all on board.",True,"00:45:29,860","00:45:32,320","00:45:30,107","00:45:32,575"
"או-קיי, אנחנו צריכים תזמון מדוייק, .מכולם כדי להשיג את הספינה הזאת","Okay, we need precision timing, from everyone to get that ship.",True,"00:45:32,427","00:45:36,392","00:45:32,643","00:45:36,636"
".כן, אדוני, מרוכז לחלוטין, אדוני","Yes, sir. Totally focused, sir.",True,"00:45:56,126","00:45:57,626","00:45:56,133","00:45:57,930"
"...הממותה, הוא נסחף אל החוף איתי... הוא",The mammoth. He washed ashore with me.,True,"00:46:28,262","00:46:30,487","00:46:28,299","00:46:30,358"
".לא, הסייבר תפס אותי","No, the saber took me down.",True,"00:46:36,839","00:46:39,086","00:46:36,807","00:46:38,866"
.וכלב ים וקנגורו,And a seal and a kangaroo.,True,"00:46:47,326","00:46:49,445","00:46:47,384","00:46:49,682"
"...גאט, תקשיב, הוא בא ל","Gutt, listen, he's coming for the...",True,"00:47:10,091","00:47:12,542","00:47:10,207","00:47:12,141"
".תפסו את הנשקים, חובלים","Grab your weapons, mates!",True,"00:47:49,063","00:47:51,138","00:47:48,946","00:47:50,641"
!בואו אחרי,Follow me!,True,"00:47:58,042","00:47:59,562","00:47:58,055","00:47:59,147"
",ללכת לספינה, לא לפשל, .ללכת לספינה, לא לפשל","Get to the ship, don't screw up., Get to the ship, don't screw up.",True,"00:48:15,659","00:48:18,919","00:48:15,806","00:48:19,071"
"!כן, סוף סוף","Yeah, finally!",True,"00:49:16,019","00:49:17,919","00:49:15,966","00:49:17,866"
?מי ארנב הפסחא עכשיו,Who's the Easter Bunny now?,True,"00:49:19,793","00:49:22,123","00:49:19,937","00:49:21,871"
"!זה עבד! הוא קנה את זה, !קדימה-","- It worked, he bought it!, - Come on!",True,"00:49:28,732","00:49:31,272","00:49:28,846","00:49:30,780"
".תגיד משהו, חבר","Say something, buddy.",True,"00:49:50,383","00:49:52,054","00:49:50,467","00:49:52,162"
!בואו נלך,Let's go.,True,"00:49:55,208","00:49:56,433","00:49:55,139","00:49:56,470"
".מצטער, חבר","Sorry, buddy.",True,"00:50:17,380","00:50:18,650","00:50:17,127","00:50:18,151"
"!אני בא, סיד","I'm coming, Sid.",True,"00:50:27,660","00:50:29,130","00:50:27,538","00:50:29,005"
"!אני בא אלייך, ממותה","I'm coming for you, mammoth.",True,"00:50:45,107","00:50:47,327","00:50:44,922","00:50:47,516"
"!קדימה, זוז","Come on, move it!",True,"00:51:07,630","00:51:09,050","00:51:07,444","00:51:08,706"
!דייגו,Diego!,True,"00:51:33,782","00:51:34,656","00:51:33,771","00:51:34,863"
"!להתראות, בננה, !תודה על הספינה","So long, banana breath., Thanks for the ship!",True,"00:52:17,399","00:52:20,899","00:52:17,614","00:52:20,606"
"...הו, לא, הוא נעלם לתמיד","Oh, no, he's gone forever!",True,"00:52:44,796","00:52:47,840","00:52:44,842","00:52:47,140"
".הוא, הנה הוא",Oh! There he is.,True,"00:52:48,452","00:52:50,401","00:52:48,378","00:52:50,107"
".גאט, אני יכולה להסביר","Gutt, I can explain.",True,"00:53:15,757","00:53:17,657","00:53:15,639","00:53:17,129"
...חכה לזה... חכה לזה,Wait for it. Wait for it.,True,"00:54:26,027","00:54:29,057","00:54:25,943","00:54:28,434"
!זה היה מדהים,That was awesome.,True,"00:54:38,939","00:54:40,264","00:54:38,956","00:54:40,116"
"זה לא מעיק לכם שיכול, ?להיות שיהיה סוף העולם","Doesn't it weigh on you, that the world might be ending?",True,"00:54:43,754","00:54:45,844","00:54:43,627","00:54:45,686"
?אפשר לספר לו את הסוד שלנו,Can I tell him our secret?,True,"00:54:45,911","00:54:47,840","00:54:45,929","00:54:47,556"
.אני הולך למצוא את פיצ'ס,I'm going to go find Peaches.,True,"00:55:08,619","00:55:10,474","00:55:08,485","00:55:10,112"
".קדימה, בנות, בואו נהנה קצת","Come on, girls, let's have some fun.",True,"00:55:18,949","00:55:21,534","00:55:18,996","00:55:21,328"
!הד,Echo!,True,"00:55:27,924","00:55:29,688","00:55:27,938","00:55:29,064"
...נתפסת על חם,Busted.,True,"00:55:55,976","00:55:57,980","00:55:56,033","00:55:57,466"
"!לכו, לכו, לכו",Go! Go! Go!,True,"00:56:32,422","00:56:33,752","00:56:32,369","00:56:34,234"
".היי, פיצ', תשתחררי, תהני קצת","Hey, Peach, loosen up! Have some fun.",True,"00:56:46,460","00:56:49,325","00:56:46,483","00:56:49,350"
"להסתובב עם חפרפרת מוזרה למשך שבוע, ?שלם מאשר להיות אתנו","to hanging with a weird molehog freak, and give all of this up?",True,"00:56:54,877","00:56:58,794","00:56:55,058","00:56:58,994"
"כאילו, זה מספיק גרוע, ...שהמשפחה שלך חצי אופוסום","I mean, it's bad enough, that your family is half possum and...",True,"00:56:58,868","00:57:01,168","00:56:59,062","00:57:01,326"
".קדימה, אנחנו סוף סוף בדרך הביתה",Come on! We're finally heading home!,True,"00:58:11,168","00:58:14,258","00:58:11,268","00:58:14,135"
".לא, לא, לא. אתם טועים לגמרי","No, no, no. You guys are dead wrong.",True,"00:58:49,643","00:58:53,413","00:58:49,940","00:58:52,773"
"...הכחשה זאת ההוכחה, .אתה מאוהב, חתלתול-","Denial is the clincher., You're in love, pussy cat!",True,"00:58:55,091","00:58:58,338","00:58:54,945","00:58:58,472"
...רציתי לבוא איתך,I wanted to come with you.,True,"00:59:24,443","00:59:27,406","00:59:24,474","00:59:26,874"
.היא יפה,She's beautiful.,True,"00:59:29,586","00:59:31,209","00:59:29,546","00:59:31,480"
"חבר'ה, חבר'ה, אתם, ?לא... שמים לב","- Guys, aren't you paying attention?, - Manny...",True,"00:59:59,341","01:00:03,037","00:59:59,376","01:00:03,039"
!אני בא,I'm coming.,True,"01:00:16,164","01:00:16,770","01:00:15,892","01:00:16,916"
".אתה צדקת, מני, .תמיד צדקת","You were right, Manny., You're always right.",True,"01:00:16,865","01:00:20,055","01:00:16,993","01:00:20,087"
".קדימה, נמר. תשחה איתי","Come on, tiger. Swim with me.",True,"01:00:44,157","01:00:47,657","01:00:44,387","01:00:47,356"
.והיא גם מבשלת,"And she cooks, too.",True,"01:00:55,472","01:00:57,931","01:00:55,432","01:00:57,559"
"עוד חמש שניות, .והיינו מתים","Five more seconds, and we'd have been goners.",True,"01:01:22,365","01:01:24,865","01:01:22,492","01:01:24,585"
...תתקשרי אלי,Call me.,True,"01:01:25,868","01:01:27,308","01:01:25,528","01:01:26,552"
"אי אפשר להוריד ממנה את, .העיניים לדקה אחת","You can't take your eyes off her, for one minute.",True,"01:03:10,858","01:03:12,778","01:03:11,034","01:03:12,661"
...זה כמו ללדת ילד,"Nope, it's like having a child.",True,"01:03:12,990","01:03:14,570","01:03:12,735","01:03:14,327"
.רק בלי ילד...,Only without any of the joy.,True,"01:03:16,273","01:03:17,773","01:03:16,272","01:03:17,830"
?מה קורה,What's going on?,True,"01:04:15,452","01:04:16,952","01:04:15,465","01:04:17,092"
!אנחנו לכודים,We're trapped!,True,"01:04:29,986","01:04:31,566","01:04:29,979","01:04:31,344"
".אבל היינו אמורות לפגוש כאן את אבא, ?מה נעשה","But we were supposed to meet Dad here., What are we going to do?",True,"01:04:33,820","01:04:37,670","01:04:33,750","01:04:37,777"
"?רגע, רגע, שמעתם את זה, ...מני-","- Wait, did you hear that?, - Manny...",True,"01:05:28,950","01:05:30,425","01:05:28,972","01:05:30,496"
"?אוהב את הספינה החדשה, .""אני קורא לה ""נקמה מתוקה","You like the new ship?, I call her Sweet Revenge.",True,"01:05:53,569","01:05:59,154","01:05:53,630","01:05:58,567"
.עכשיו בוא וקח אותה,Now come and get her.,True,"01:06:24,440","01:06:26,940","01:06:24,560","01:06:26,289"
.אתה הרסת את כל מה שהיה לי,You destroyed everything I had.,True,"01:06:42,269","01:06:44,984","01:06:42,378","01:06:45,040"
.אני רק מחזיר טובה,I'm just returning the favor.,True,"01:06:45,122","01:06:47,360","01:06:45,114","01:06:47,514"
!לא,No!,True,"01:06:47,638","01:06:48,938","01:06:47,684","01:06:49,049"
".היה נחמד להכיר אותך, ילד","Nice knowing you, kid.",True,"01:07:19,594","01:07:21,454","01:07:19,615","01:07:20,775"
".בוא נרקוד, גיבור","Let's dance, hero.",True,"01:07:33,613","01:07:36,033","01:07:33,496","01:07:35,361"
"?הולך לאנשהו, חבר","Oi, going somewhere, mate?",True,"01:07:59,409","01:08:01,139","01:07:58,821","01:08:00,652"
!תן לי לטפל בו,Let me at him.,True,"01:08:06,676","01:08:08,176","01:08:06,629","01:08:07,960"
?מילים אחרונות,Any last words?,True,"01:08:12,572","01:08:14,592","01:08:12,735","01:08:14,430"
!אמאל'ה,Mummy.,True,"01:08:22,387","01:08:23,757","01:08:22,478","01:08:23,740"
"אולי הבת המשוגעת הזאת, .לא משוגעת אחרי הכל","Maybe that crazy old bat, isn't that crazy after all.",True,"01:08:34,869","01:08:38,004","01:08:34,991","01:08:37,289"
".לא, היא לא","Nope, she's nuts.",True,"01:08:40,390","01:08:41,440","01:08:40,229","01:08:41,526"
!דגלים באים,Bombs away!,True,"01:08:50,520","01:08:52,604","01:08:50,506","01:08:51,871"
!אל תהיה פחדן,Don't be a scaredy cat.,True,"01:08:58,227","01:09:00,687","01:08:58,247","01:09:00,477"
!ידעתי שאת בוגדת,I knew you were a traitor.,True,"01:09:19,078","01:09:21,048","01:09:18,935","01:09:20,800"
"האף הארנבי שלך מתנדנד בצורה, .הכי חמודה כשאתה כועס","Your little bunny nose wiggles, in the cutest way when you're mad.",True,"01:09:21,250","01:09:25,230","01:09:21,471","01:09:25,100"
!?מה,What?,True,"01:09:25,274","01:09:26,335","01:09:25,174","01:09:26,505"
".היי, זה נשמע מגניב, תמשיכי","Hey, that's not cool. Come on, now.",True,"01:09:31,771","01:09:33,746","01:09:31,547","01:09:33,538"
".לא טוב, סבתא, מפקדת","Not good, Granny sir.",True,"01:09:47,676","01:09:49,326","01:09:47,697","01:09:49,062"
!אש,Fire!,True,"01:10:00,689","01:10:02,359","01:10:00,710","01:10:02,041"
"...כן, בייבי","Booyah, baby!",True,"01:10:04,463","01:10:06,563","01:10:04,614","01:10:06,206"
!הצילו,Help!,True,"01:10:16,503","01:10:17,943","01:10:16,359","01:10:17,519"
!אמא,Mom!,True,"01:10:20,569","01:10:21,849","01:10:20,563","01:10:21,757"
"!אלי, .אני מטפלת בזה, אבא","- Ellie!, - I got this, Dad.",True,"01:10:34,112","01:10:36,212","01:10:34,143","01:10:36,407"
.זאת הבת שלי,That's my girl.,True,"01:11:05,914","01:11:07,724","01:11:05,841","01:11:07,706"
!לא,No!,True,"01:11:28,166","01:11:29,636","01:11:27,930","01:11:28,954"
"!אין לאן לרוץ, מני","There's nowhere to run, Manny.",True,"01:11:31,439","01:11:33,939","01:11:31,434","01:11:33,766"
"אתה יודע שהאוקיינוס הזה, .לא מספיק גדול בשביל שנינו","You know, this ocean, isn't big enough for the both of us.",True,"01:11:45,283","01:11:49,553","01:11:45,314","01:11:49,080"
"אתה יודע, לפעמים זה, !משתלם לשקול 11 טון","You know, sometimes,, it pays to weigh eleven tons!",True,"01:12:13,681","01:12:17,581","01:12:13,776","01:12:17,143"
".אז, את בטח אוצרי","So, you must be Precious.",True,"01:12:36,404","01:12:39,324","01:12:36,265","01:12:39,496"
!אבא,Dad!,True,"01:13:21,859","01:13:23,229","01:13:21,644","01:13:22,668"
?איך זה בתור כניסה,How's that for an entrance?,True,"01:13:24,462","01:13:26,562","01:13:24,413","01:13:26,278"
...אבא,Dad!,True,"01:13:31,899","01:13:33,099","01:13:31,821","01:13:33,254"
...מני,Manny.,True,"01:13:34,291","01:13:35,601","01:13:34,190","01:13:35,623"
"...היי, אני באמת","Hey, I actually...",True,"01:13:46,013","01:13:48,624","01:13:45,968","01:13:47,959"
!אמא אוהבת אותך גם,"Momma loves you, too!",True,"01:14:51,508","01:14:53,878","01:14:51,634","01:14:53,795"
".אני לא יכול לחכות לבדוק את המקום הזה, ...כן-","- I can't wait to check this place out., - Yeah.",True,"01:15:28,103","01:15:30,614","01:15:28,037","01:15:30,665"
"כאשר שתיכם תרדו מהספינה, ...אני מצפה משניכם","When you two get off this ship,, I expect you both to...",True,"01:15:32,328","01:15:35,723","01:15:32,408","01:15:35,969"
.ליהנות,have fun.,True,"01:15:36,199","01:15:37,720","01:15:36,045","01:15:37,069"
.אני יודע,I know.,True,"01:16:16,634","01:16:17,852","01:16:16,518","01:16:18,145"
".ברוך הבא, אח","Welcome, brother.",True,"01:17:23,259","01:17:25,464","01:17:23,185","01:17:24,709"
!לא,No!,True,"01:18:29,880","01:18:31,230","01:18:29,818","01:18:30,910"
!עצור,Stop!,True,"01:18:31,802","01:18:33,202","01:18:31,620","01:18:32,644"
".אח, תתעלה מעל הרצון הזה","Brother, rise above this base desire.",True,"01:18:34,204","01:18:37,069","01:18:34,223","01:18:37,317"
.תהיה יותר מ-מכרסם,Be more than a rodent.,True,"01:18:37,314","01:18:40,172","01:18:37,393","01:18:39,691"
"...אנחנו, אנחנו, המשפחה הלא נורמלית שלך","# We are, we are #, # Not your ordinary fam-a, ma-lee #",True,"01:19:24,069","01:19:29,714","01:19:24,473","01:19:30,241"
.קרובים כמה שיותר,# Close as close can be #,True,"01:19:34,992","01:19:37,304","01:19:35,250","01:19:37,741"
!קרוב מדי,# Too close! #,True,"01:19:37,388","01:19:38,687","01:19:37,820","01:19:38,912"
"אז זה לא משנה איך זה נראה, .אנחנו נראים מושלמים בשבילי","# So it don't matter what it looks like #, # We look perfect to me #",True,"01:19:53,015","01:19:56,725","01:19:53,402","01:19:57,168"
"יש לנו את כל סוגי האהבה, .אני מרגשיה ברת מזל","# We got every kind of love #, # I feel so lucky indeed #",True,"01:19:56,864","01:20:00,676","01:19:57,239","01:20:01,403"
"הם יכולים להמשיך לדבר, .זה לא משנה לי","# They can keep on talkin' #, # lt don't matter to me #",True,"01:20:00,975","01:20:04,136","01:20:01,477","01:20:04,605"
.משפחה,# Family #,True,"01:20:09,468","01:20:10,223","01:20:09,651","01:20:10,675"
"...אנחנו, אנחנו","# We are, we are #",True,"01:20:10,324","01:20:12,849","01:20:10,752","01:20:13,380"
!חזיר וגבינה,# Ham and cheese #,True,"01:20:13,090","01:20:14,106","01:20:13,455","01:20:14,513"
- ג'ון לגוויזמו -,# But really they make us stronger #,True,"01:20:21,051","01:20:24,473","01:20:21,430","01:20:24,331"
- ג'וש פק -,# 'Cause we come from everywhere #,True,"01:20:32,261","01:20:35,319","01:20:32,474","01:20:35,136"
- 'פיטר דינקלייג -,# Searching for ones to care #,True,"01:20:36,078","01:20:39,214","01:20:36,178","01:20:39,272"
- וונדה סייקס -,# Somehow we found it here #,True,"01:20:39,405","01:20:42,781","01:20:39,882","01:20:42,942"
- ג'ניפר לופז -,# We found us a home #,True,"01:20:43,028","01:20:46,468","01:20:43,118","01:20:46,576"
"- אלאיין צ'באט -, - הת'ר מוריס -","# We are #, # We are #",True,"01:21:12,224","01:21:15,321","01:21:12,814","01:21:15,510"
"...אנחנו, אנחנו","# We are, we are #",True,"01:21:19,879","01:21:22,489","01:21:20,355","01:21:22,949"
!חזיר וגבינה,# Ham and cheese #,True,"01:21:22,640","01:21:24,636","01:21:23,025","01:21:24,356"
